source_row,submission_id,submission_uuid,education,edu_masters_raw,religion_raw,form_version,qc_unknown_codes,qc_required_missing,qc_skip_conflicts,qc_applicable_missing,ward_raw,local_government_raw,qc_age,qc_eligibility,qc_ward,qc_location_numeric,qc_gps,qc_education_routing,qc_duplicate_id,qc_duplicate_uuid,ms_screener,ms_gender_other,ms_edu_school,ms_edu_plus2,ms_edu_bachelors,ms_edu_masters,ms_religion,ms_family_returned,ms_abroad_purpose,ms_nepal_plan,ms_q2_4,ms_q2_4_1,ms_q2_4_1_other,ms_q2_5,ms_q2_5_1,ms_q2_5_1_other,ms_q2_6,ms_q2_6_1,ms_q2_6_1_other,ms_q2_7_1,qc_review
2,843605455,df2b2086-4b87-476a-bed6-a80c0bf1b6eb,Bachelors 2nd year,,1,vpbFT9pkYfFQQ9Vck8AQdu,0,0,0,0,2,Mahalaxmi nagar palika ,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
3,843824313,97233793-ad38-438d-ab54-7fbc340f4ad7,Masters 2nd year,,1,vpbFT9pkYfFQQ9Vck8AQdu,0,0,1,0,8,Chandragiri,No,No,No,No,No,Yes,0,0,Answered,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Answered,Answered,Answered,Answered outside form routing,Answered,Answered,Answered,Answered,Answered,Missing: outside form routing,Yes
4,843824334,80e5b217-4fd5-46c6-961c-2f464549e2be,Masters 2nd year,,1,vpbFT9pkYfFQQ9Vck8AQdu,0,0,0,0,8,Chandragiri,No,No,No,No,No,Yes,0,0,Answered,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Yes
5,843980253,f36308cf-9504-439e-98ae-5210c2687226,Bachelors 3rd year,,1,vpbFT9pkYfFQQ9Vck8AQdu,0,0,0,0,8,Mahalaxmi municipality,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Answered,No
6,843980262,88c77ef5-fdb0-4f77-a4ba-bee6a1666874,Bachelors 3rd year,,1,vpbFT9pkYfFQQ9Vck8AQdu,0,0,1,0,8,Mahalaxmi municipality,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Answered,Answered,Answered outside form routing,Answered,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Yes
7,844023026,de385d9b-8a9d-4193-a99c-24c141c74173,Bachelors 2nd year,,1,vpbFT9pkYfFQQ9Vck8AQdu,0,0,0,0,8,Chandraguri municipality ,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
8,844023058,c51f6c85-c2cb-45cc-b40b-bb3b6493b41a,Bachelors 1st year,,1,vpbFT9pkYfFQQ9Vck8AQdu,0,0,0,0,8,Chandraguri municipality ,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
9,844062356,c349c357-0053-4114-a29e-d4ece6e0b156,Bachelors 1st year,,1,vpbFT9pkYfFQQ9Vck8AQdu,0,0,0,0,31,Kathmandu,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
10,844062375,6e5d1577-5578-4db6-b8f2-ea3ac5dc28fc,Masters 1st year,2,1,vpbFT9pkYfFQQ9Vck8AQdu,0,0,0,0,31,Kathmandu,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Answered,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Missing: outside form routing,Missing: outside form routing,No
11,844077458,a3f5272f-4950-4cad-8882-be30d5b61ef3,Bachelors 4th year,,1,vpbFT9pkYfFQQ9Vck8AQdu,0,0,1,0,5,Kirtipur nagarpalika,No,No,No,No,No,No,0,0,Answered,Missing: outside form routing,Answered,Answered,Missing: outside form routing,Missing: outside form routing,Answered,Missing: outside form routing,Answered,Missing: outside form routing,Answered,Answered,Answered,Answered outside form routing,Answered,Answered,Answered,Answered,Answered,Missing: outside form routing,Yes
