('list_name', 'name', 'label::English (en)', 'label::Nepali (ne)', 'order')
('yes_no', '1', 'Yes', 'छ', None)
('yes_no', '2', 'No', 'छैन', None)
('screener', '1', 'Yes', 'हो', None)
('screener', '2', 'No', 'होइन', None)
('xq9zw28', 'biwash', 'Biwash', 'Biwash', None)
('xq9zw28', 'buddhi', 'Buddhi', 'Buddhi', None)
('xq9zw28', 'janak', 'Janak', 'Janak', None)
('xq9zw28', 'januka', 'Januka', 'Januka', None)
('xq9zw28', 'kanti', 'Kanti', 'Kanti', None)
('xq9zw28', 'manju', 'Manju', 'Manju', None)
('xq9zw28', 'nabin', 'Nabin', 'Nabin', None)
('xq9zw28', 'pankaj', 'Pankaj', 'Pankaj', None)
('xq9zw28', 'sagar', 'Sagar', 'Sagar', None)
('xq9zw28', 'shreeya', 'Shreeya', 'Shreeya', None)
('xq9zw28', 'sumitra', 'Sumitra', 'Sumitra', None)
('xq9zw28', 'susmita', 'Susmita', 'Susmita', None)
('xq9zw28', 'usha', 'Usha', 'Usha', None)
('ar01j09', 'koshi', 'Koshi', 'कोशी ', None)
('ar01j09', 'madhesh', 'Madhesh', 'मधेश ', None)
('ar01j09', 'bagamati', 'Bagamati', 'बागमती ', None)
('ar01j09', 'gandaki', 'Gandaki', 'गण्डकी ', None)
('ar01j09', 'lumbini', 'Lumbini', 'लुम्बिनी ', None)
('ar01j09', 'sudurpaschim', 'Sudurpaschim', 'सुदुरपस्चिम ', None)
('ar01j09', 'karnali', 'Karnali', 'कर्णाली ', None)
('gender', '1', 'Male', 'पुरुष', None)
('gender', '2', 'Female', 'महिला', None)
('gender', '3', 'Others', 'अन्य', None)
('gender', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('education', '1', 'Bachelors 1st year', 'स्नातक प्रथम बर्ष ', None)
('education', '2', 'Bachelors 2nd year', 'स्नातक दोस्रो वर्ष', None)
('education', '3', 'Bachelors 3rd year', 'स्नातक तेस्रो वर्ष', None)
('education', '4', 'Bachelors 4th year', 'स्नातक चौथो वर्ष', None)
('education', '5', 'Bachelors 5th year', 'स्नातक पाँचौँ वर्ष', None)
('education', '6', 'Masters 1st year', 'स्नातकोत्तर प्रथम वर्ष', None)
('education', '7', 'Masters 2nd year', 'स्नातकोत्तर दोस्रो वर्ष', None)
('education', '8', 'PHD', 'PHD', None)
('education', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('private_public', '1', 'Private', 'निजि', None)
('private_public', '2', 'Public', 'सार्वजनिक/सरकारी', None)
('private_public', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('cp3qw00', '1', 'Bhramin/Chettri', 'ब्रामण/क्षेत्री ', None)
('cp3qw00', '2', 'Dalit', 'दलित ', None)
('cp3qw00', '3', 'Janajati', 'जनजाती ', None)
('cp3qw00', '4', 'Muslim', 'मुस्लिम ', None)
('cp3qw00', '5', 'Madhesi', 'मधेसी ', None)
('cp3qw00', '-99', 'Preder not to say', 'भन्न चाहन्न ', None)
('yes_no_unsure', '1', 'Yes', 'भएको', None)
('yes_no_unsure', '2', 'No', 'नभएको', None)
('yes_no_unsure', '3', 'Not Sure', 'निश्चित छैन', None)
('yes_no_unsure', '-99', 'Prefer not say', 'भन्न चाहन्न', None)
('hn9bp27', '1', 'Hindu', 'हिन्दु ', None)
('hn9bp27', '2', 'Muslim', 'मुस्लिम ', 1)
('hn9bp27', '3', 'Christian', 'क्रिस्टियन ', 2)
('hn9bp27', '4_1', 'Buddhist', 'बौद्ध ', 3)
('hn9bp27', '5', 'Others', 'अन्य ', 4)
('hn9bp27', 'prefer_not_to_say', 'Prefer not to say', 'भन्न चाहन्न ', 5)
('marital', '1', 'Never Married', 'अविवाहित', None)
('marital', '2', 'Married', 'विवाहित', None)
('marital', '3', 'Divorced/separated/widowed', 'सम्बन्धविच्छेद/अलग बस्ने/विधुर वा विधवा', None)
('urban_rural', '1', 'Urban', 'शहरी', None)
('urban_rural', '2', 'Rural', 'ग्रामीण', None)
('urban_rural', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('yes_no_pns', '1', 'Yes', 'हो', None)
('yes_no_pns', '2', 'No', 'होइन', None)
('yes_no_pns', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('yes_no_dk_pns', '1', 'Yes', 'हो', None)
('yes_no_dk_pns', '2', 'No', 'होइन', None)
('yes_no_dk_pns', '3', 'Don’t know/Unsure', 'थाहा छैन', None)
('yes_no_dk_pns', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('migration_plan', '1', 'Go Abroad', 'विदेश जाने', None)
('migration_plan', '2', 'Stay in Nepal', 'नेपालमै बस्ने', None)
('migration_plan', '3', 'Don’t know/Unsure', 'थाहा छैन', None)
('migration_plan', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('abroad_purpose', '1', 'Study', 'पढाई गर्न ', None)
('abroad_purpose', '2', 'Work', 'काम गर्न ', None)
('abroad_purpose', '3', 'Study and Work', 'पढाई र काम दुवै ', None)
('abroad_purpose', '4', 'Travel', 'घुम्न जाने ', None)
('nepal_plan', '1', 'Study Further', 'थप पढाई गर्ने ', None)
('nepal_plan', '2', 'Seek a Job', 'काम गर्ने ', None)
('nepal_plan', '3', 'Start a business', 'व्यवसाय गर्ने ', None)
('nepal_plan', '4', 'Study and Seek a job', 'पढाई र काम दुवै ', None)
('nepal_plan', '5', 'Study and Start a business', 'पढाई र व्यवसाय दुवै ', None)
('nepal_plan', '6', 'Seek a job and Start a business', 'काम र व्यवसाय दुवै ', None)
('agree5', '1', 'Strongly agree', 'पूर्ण रूपमा सहमत', None)
('agree5', '2', 'Agree', 'सहमत', None)
('agree5', '3', 'Neutral', 'ठिक ठिकै', None)
('agree5', '4', 'Disagree', 'असहमत', None)
('agree5', '5', 'Strongly disagree', 'पूर्ण रूपमा असहमत', None)
('agree5', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('agree5', '6', 'Dont Know', 'थाहा छैन ', None)
('newsfreq', '1', 'Daily', 'दैनिक', None)
('newsfreq', '2', 'Several times a week', 'हप्तामा धेरै पटक', None)
('newsfreq', '3', 'Weekly', 'साप्ताहिक', None)
('newsfreq', '4', 'Occasionally', 'कहिलेकाहीँ', None)
('newsfreq', '5', 'Never', 'कहिल्यै होइन', None)
('vote', '1', 'Yes', 'हो', None)
('vote', '2', 'No', 'होइन', None)
('vote', '3', 'हालेको तर कुन तहमा हालेको थाहा छैन', 'हालेको तर कुन तहमा हालेको थाहा छैन', None)
('vote', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('nonvote_reason', '1', 'Did not register', 'दर्ता नगरेको ', None)
('nonvote_reason', '3', 'Away from registered voting location', 'दर्ता भएको मतदान केन्द्रबाट टाढा रहेको', 1)
('nonvote_reason', '4', 'Health/family issue', 'स्वास्थ्य/पारिवारिक समस्या', 2)
('nonvote_reason', '5', 'Not interested in voting process', 'मतदान प्रक्रियामा रुचि नभएको', 3)
('nonvote_reason', '6', 'Did not trust political parties/candidates', 'राजनीतिक दल/उम्मेदवारमाथि विश्वास नभएको', 4)
('nonvote_reason', '7', 'Intentionally boycotted the election', 'जानाजानी निर्वाचन बहिष्कार गरेको', 5)
('nonvote_reason', '8', 'My vote would make no difference', 'मेरो मतले कुनै फरक पार्दैन भन्ने लाग्यो', 6)
('nonvote_reason', '-99', 'Prefer not to say', 'भन्न चाहन्न', 7)
('nonvote_reason', 'others_please_specify', 'Others Please Specify', 'अरु भए खुलाइदिनु होला ', 8)
('future_vote', '1', 'Very Likely', 'धेरै सम्भावना', None)
('future_vote', '2', 'Somewhat Likely', 'केही सम्भावना', None)
('future_vote', '3', 'Somewhat unlikely', 'केही कम सम्भावना', None)
('future_vote', '4', 'Very unlikely', 'धेरै कम सम्भावना', None)
('future_vote', '5', 'Don’t know', 'अहिले थाहा छैन', None)
('future_vote', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
