province,local_government,local_government_raw,responses,province_label
Koshi,biratnagar,Biratnagar ,12,Koshi
Koshi,biratnagar,Biratnagar,55,Koshi
Koshi,biratnagar maha nagar palika,Biratnagar maha nagar palika ,1,Koshi
Koshi,biratnagar mahanagar palika,Biratnagar mahanagar palika,17,Koshi
Koshi,biratnagar mahanagar palika,Biratnagar Mahanagar palika,49,Koshi
Koshi,biratnagar mahanagar palika,Biratnagar Mahanagar palika ,1,Koshi
Koshi,janakpurdham,Janakpurdham,1,Koshi
Madhesh,janakpur,Janakpur,15,Madhesh
Madhesh,janakpur sub metropolitan city,Janakpur sub metropolitan city,1,Madhesh
Madhesh,janakpur sub municipality,Janakpur sub municipality,9,Madhesh
Madhesh,janakpurdham,Janakpurdham,26,Madhesh
Madhesh,janakpurdham,Janakpurdham ,9,Madhesh
Madhesh,janakpurdham metropolitan,Janakpurdham metropolitan,1,Madhesh
Madhesh,janakpurdham sub metropolitan,Janakpurdham sub metropolitan,106,Madhesh
Bagmati,banepa,Banepa,5,Bagmati
Bagmati,chandragiri,Chandragiri,4,Bagmati
Bagmati,chandraguri municipality,Chandraguri municipality ,3,Bagmati
Bagmati,chandraguri municipality,Chandraguri municipality,1,Bagmati
Bagmati,kathmandu,Kathmandu,16,Bagmati
Bagmati,kathmandu mahanagar,Kathmandu  Mahanagar,1,Bagmati
Bagmati,kathmandu mahanagar,Kathmandu Mahanagar ,1,Bagmati
Bagmati,kathmandu mahanagar,Kathmandu mahanagar,43,Bagmati
Bagmati,kathmandu mahanagar,Kathmandu Mahanagar,40,Bagmati
Bagmati,kathmandu mahangar,Kathmandu Mahangar ,1,Bagmati
Bagmati,kathmandu mahangar,Kathmandu Mahangar,8,Bagmati
Bagmati,kathmandu metropolitan,Kathmandu metropolitan,2,Bagmati
Bagmati,kathmandu metropolitan,Kathmandu metropolitan ,2,Bagmati
Bagmati,kathmandu metropolitan,Kathmandu Metropolitan,5,Bagmati
Bagmati,kirtipur,kirtipur,2,Bagmati
Bagmati,kirtipur,Kirtipur,2,Bagmati
Bagmati,kirtipur nagarpalika,Kirtipur nagarpalika,1,Bagmati
Bagmati,lalitpur,Lalitpur,7,Bagmati
Bagmati,lalitpur mahanagar,Lalitpur Mahanagar,1,Bagmati
Bagmati,mahalaxmi,Mahalaxmi ,1,Bagmati
Bagmati,mahalaxmi,Mahalaxmi,5,Bagmati
Bagmati,mahalaxmi municipality,Mahalaxmi municipality,2,Bagmati
Bagmati,mahalaxmi nagar palika,Mahalaxmi nagar palika,1,Bagmati
Bagmati,mahalaxmi nagar palika,Mahalaxmi nagar palika ,1,Bagmati
Bagmati,pokhara sub metro politicity,Pokhara sub metro politicity,1,Bagmati
Bagmati,pokhara sub metropolitan city,Pokhara sub metropolitan city,1,Bagmati
Bagmati,pokhara sub metropolitan city,Pokhara sub metropolitan city ,3,Bagmati
Bagmati,tarakeshwor,Tarakeshwor,1,Bagmati
Bagmati,tarkeahowar,tarkeahowar,1,Bagmati
Bagmati,tarkeshowar,tarkeshowar,2,Bagmati
Bagmati,tarkeshowar,Tarkeshowar,1,Bagmati
Bagmati,tarkeshwar,tarkeshwar ,1,Bagmati
Bagmati,tarkeshwor,tarkeshwor ,1,Bagmati
Bagmati,tarkeshwor,Tarkeshwor,23,Bagmati
Bagmati,tokh,Tokh,1,Bagmati
Bagmati,tokha,tokha,9,Bagmati
Bagmati,tokha,Tokha,47,Bagmati
Bagmati,tokha,Tokha ,2,Bagmati
Bagmati,काठमाडौं महानगरपालिका,काठमाडौं महानगरपालिका,1,Bagmati
Bagmati,तारकेश्वर नगरपालिका,तारकेश्वर नगरपालिका,3,Bagmati
Gandaki,pokh,Pokh,1,Gandaki
Gandaki,pokhar sub metropolitan,Pokhar sub metropolitan ,1,Gandaki
Gandaki,pokhara,Pokhara,1,Gandaki
Gandaki,pokhara sub metro politicity,pokhara Sub metro politicity,1,Gandaki
Gandaki,pokhara sub metro politicity,pokhara sub metro politicity,1,Gandaki
Gandaki,pokhara sub metro politicity,Pokhara sub metro politicity,23,Gandaki
Gandaki,pokhara sub metro politicity.,Pokhara sub metro politicity.,1,Gandaki
Gandaki,pokhara sub metropolitan city,Pokhara sub metropolitan city ,12,Gandaki
Gandaki,pokhara sub metropolitan city,Pokhara sub metropolitan city,4,Gandaki
Gandaki,pokhara sub metropoliticity,Pokhara sub metropoliticity,1,Gandaki
Gandaki,pokhara up na pa,Pokhara up na pa,13,Gandaki
Gandaki,pokhara up na pa,Pokhara up na pa ,2,Gandaki
Gandaki,pokhara up no pa,Pokhara up no pa,1,Gandaki
Gandaki,siddhartha na pa,Siddhartha na pa,1,Gandaki
Lumbini,butawal up na pa,Butawal up na pa ,1,Lumbini
Lumbini,butawal up na pa,Butawal up na pa,21,Lumbini
Lumbini,butwal metro politicity,Butwal metro politicity,1,Lumbini
Lumbini,butwal sub metro politicity,Butwal sub metro politicity,17,Lumbini
Lumbini,butwal sub metro politicity,butwal sub metro politicity,1,Lumbini
Lumbini,butwal sub metropolitan city,Butwal sub metropolitan city,13,Lumbini
Lumbini,butwal sub metropolitan city,Butwal sub metropolitan city ,7,Lumbini
Lumbini,butwal sub metropoliticity,Butwal sub metropoliticity,2,Lumbini
Lumbini,butwal submetro politicity,Butwal submetro politicity,1,Lumbini
Lumbini,pokhara up na pa,Pokhara up na pa ,1,Lumbini
Lumbini,sidartha na pa,Sidartha na pa,1,Lumbini
Lumbini,siddharth na pa,Siddharth na pa,2,Lumbini
Lumbini,siddharth nagar nagarpalika,Siddharth Nagar nagarpalika,14,Lumbini
Lumbini,siddharth nagar nagarpalika,Siddharth Nagar nagarpalika ,1,Lumbini
Lumbini,siddharth nagar nagarpqlika,Siddharth Nagar nagarpqlika,6,Lumbini
Lumbini,siddhartha na pa,Siddhartha na pa,21,Lumbini
Lumbini,siddhartha nagar,Siddhartha nagar,1,Lumbini
Lumbini,siddhartha nagar nagarpalika,Siddhartha nagar nagarpalika ,2,Lumbini
Lumbini,siddhartha nagar nagarpalika,Siddhartha nagar nagarpalika,18,Lumbini
Lumbini,siddhartha nagar nagarpalika,Siddhartha Nagar nagarpalika,1,Lumbini
Lumbini,siddhartha nagar nagarpalika.,Siddhartha nagar nagarpalika.,2,Lumbini
Lumbini,siddharthanagar nagarpalika,Siddharthanagar nagarpalika,3,Lumbini
Lumbini,siddharths nagar nagarpalika,Siddharths nagar nagarpalika,1,Lumbini
Lumbini,siddhartthanagar nagarpalika,Siddhartthanagar nagarpalika,1,Lumbini
Sudurpaschim,28,28,1,Sudurpaschim
Sudurpaschim,dhangad,Dhangad,1,Sudurpaschim
Sudurpaschim,dhangadhi,Dhangadhi,1,Sudurpaschim
Sudurpaschim,dhangadi,Dhangadi,74,Sudurpaschim
Sudurpaschim,dhangadi,Dhangadi ,1,Sudurpaschim
Sudurpaschim,dhanggadi,Dhanggadi,1,Sudurpaschim
Karnali,birendra,Birendra,1,Karnali
Karnali,birendranagar,Birendranagar,21,Karnali
Karnali,birendranagar nagarpalika,Birendranagar nagarpalika,23,Karnali
,,,1,
,butwal sub metropolitan city,Butwal sub metropolitan city ,1,
