position,name,type,isnumeric,format,vallab,varlab
1,source_row,int,1,%12.0g,,"Row in original Excel workbook, including header"
2,submission_id,long,1,%10.0g,,Submission ID (Kobo)
3,submission_uuid,str36,0,%36s,,Submission UUID (Kobo)
4,interview_date,int,1,%tdCCYY-NN-DD,,Interview date (local calendar date)
5,interview_time,long,1,%tcHH:MM:SS,,"Interview local time of day (+05:45), milliseconds"
6,interviewer,byte,1,%33.0g,vl_xq9zw28,Interviewer
7,province,byte,1,%33.0g,vl_ar01j09,Province (explicit codes follow supplied choice-list order)
8,local_government,str61,0,%61s,,Local government: normalized case and whitespace only
9,ward,byte,1,%10.0g,,Ward number
10,age,byte,1,%10.0g,,1.1 Age in completed years
11,gender,byte,1,%33.0g,vl_gender,1.2 Gender
12,education,byte,1,%33.0g,vl_education,1.3 Current education level and year
13,consent_agree,byte,1,%33.0g,vl_yes_no,Consent to participate
14,consent_agree_raw,str1,0,%9s,,Original code: consent_agree
15,screener,byte,1,%33.0g,vl_screener,Eligible: age 18-35 and student at sampled institution
16,screener_raw,str1,0,%9s,,Original code: screener
17,interview_date_raw,str9,0,%9s,,Interview date
18,interview_time_raw,str18,0,%18s,,Interview time
19,interviewer_raw,str7,0,%9s,,Original code: interviewer
20,province_raw,str12,0,%12s,,Original code: province
21,gender_raw,str1,0,%9s,,Original code: gender
22,gender_other,str1,0,%9s,,"1.2 Gender: other, specified"
23,education_raw,str1,0,%9s,,Original code: education
24,edu_school,byte,1,%33.0g,vl_private_public,1.3.1 SLC/SEE school: private or public
25,edu_school_raw,str1,0,%9s,,Original code: edu_school
26,edu_plus2,byte,1,%33.0g,vl_private_public,1.3.2 Plus-two institution: private or public
27,edu_plus2_raw,str1,0,%9s,,Original code: edu_plus2
28,edu_bachelors,byte,1,%33.0g,vl_private_public,1.3.3 Bachelor's institution: private or public
29,edu_bachelors_raw,str1,0,%9s,,Original code: edu_bachelors
30,edu_masters,byte,1,%33.0g,vl_private_public,1.3.4 Master's or higher institution: private or public
31,edu_masters_raw,str1,0,%9s,,Original code: edu_masters
32,ethnicity,byte,1,%33.0g,vl_cp3qw00,1.4 Caste/ethnicity
33,ethnicity_raw,str1,0,%9s,,Original code: ethnicity
34,religious_belief,byte,1,%33.0g,vl_yes_no_unsure,1.5 Considers self a person with religious beliefs
35,religious_belief_raw,str1,0,%9s,,Original code: religious_belief
36,religion,byte,1,%33.0g,vl_hn9bp27,1.6 Religion
37,religion_raw,str17,0,%17s,,Original code: religion
38,marital_status,byte,1,%33.0g,vl_marital,1.7 Marital status
39,marital_status_raw,str1,0,%9s,,Original code: marital_status
40,life_place,byte,1,%33.0g,vl_urban_rural,1.8 Urban/rural location of most of life
41,life_place_raw,str1,0,%9s,,Original code: life_place
42,family_abroad,byte,1,%33.0g,vl_yes_no_pns,1.9 Close family member has lived or lives abroad
43,family_abroad_raw,str1,0,%9s,,Original code: family_abroad
44,family_returned,byte,1,%33.0g,vl_yes_no_dk_pns,1.9.1 Family member abroad returned permanently
45,family_returned_raw,str1,0,%9s,,Original code: family_returned
46,migration_plan,byte,1,%33.0g,vl_migration_plan,1.10 Plans to go abroad or stay in Nepal
47,migration_plan_raw,str1,0,%9s,,Original code: migration_plan
48,abroad_purpose,byte,1,%33.0g,vl_abroad_purpose,1.10.1a Purpose of going abroad
49,abroad_purpose_raw,str1,0,%9s,,Original code: abroad_purpose
50,nepal_plan,byte,1,%33.0g,vl_nepal_plan,1.10.1b Plans while staying in Nepal
51,nepal_plan_raw,str1,0,%9s,,Original code: nepal_plan
52,q2_1,byte,1,%33.0g,vl_agree5,2.1 Agreement: politics is central to living in Nepal
53,q2_1_raw,str1,0,%9s,,Original code: q2_1
54,q2_2,byte,1,%33.0g,vl_newsfreq,2.2 Frequency of following political news
55,q2_2_raw,str1,0,%9s,,Original code: q2_2
56,q2_3,byte,1,%33.0g,vl_yes_no_pns,2.3 Active involvement in politics/political organizations
57,q2_3_raw,str1,0,%9s,,Original code: q2_3
58,q2_4,byte,1,%39.0g,vl_vote,2.4 Voted in 2022 federal election
59,q2_4_raw,str1,0,%9s,,Original code: q2_4
60,q2_4_1,byte,1,%42.0g,vl_nonvote_reason,2.4.1 Reason for not voting: federal
61,q2_4_1_raw,str21,0,%21s,,Original code: q2_4_1
62,q2_4_1_other,str79,0,%79s,,2.4.1 Other reason for not voting: federal
63,q2_5,byte,1,%39.0g,vl_vote,2.5 Voted in 2022 provincial election
64,q2_5_raw,str1,0,%9s,,Original code: q2_5
65,q2_5_1,byte,1,%42.0g,vl_nonvote_reason,2.5.1 Reason for not voting: provincial
66,q2_5_1_raw,str21,0,%21s,,Original code: q2_5_1
67,q2_5_1_other,str79,0,%79s,,2.5.1 Other reason for not voting: provincial
68,q2_6,byte,1,%39.0g,vl_vote,2.6 Voted in 2022 local election
69,q2_6_raw,str3,0,%9s,,Original code: q2_6
70,q2_6_1,byte,1,%42.0g,vl_nonvote_reason,2.6.1 Reason for not voting: local
71,q2_6_1_raw,str21,0,%21s,,Original code: q2_6_1
72,q2_6_1_other,str79,0,%79s,,2.6.1 Other reason for not voting: local
73,q2_7,byte,1,%33.0g,vl_future_vote,2.7 Likelihood of voting in 2027 local elections
74,q2_7_raw,str1,0,%9s,,Original code: q2_7
75,q2_7_1,byte,1,%41.0g,vl_unlikely_reason,2.7.1 Reason unlikely to vote in 2027 local elections
76,q2_7_1_raw,str1,0,%9s,,Original code: q2_7_1
77,q2_8_1,byte,1,%33.0g,vl_civic_yes_no,2.8.1 Past 12 months: Attended campaign/rally
78,q2_8_1_raw,str1,0,%9s,,Original code: q2_8_1
79,q2_8_2,byte,1,%33.0g,vl_civic_yes_no,2.8.2 Past 12 months: Volunteered for party/campaign
80,q2_8_2_raw,str1,0,%9s,,Original code: q2_8_2
81,q2_8_3,byte,1,%33.0g,vl_civic_yes_no,2.8.3 Past 12 months: Joined protest/demonstration
82,q2_8_3_raw,str1,0,%9s,,Original code: q2_8_3
83,q2_8_4,byte,1,%33.0g,vl_civic_yes_no,2.8.4 Past 12 months: Joined public meeting/discussion
84,q2_8_4_raw,str1,0,%9s,,Original code: q2_8_4
85,q2_8_5,byte,1,%33.0g,vl_civic_yes_no,2.8.5 Past 12 months: Contacted elected representative
86,q2_8_5_raw,str1,0,%9s,,Original code: q2_8_5
87,q2_8_6,byte,1,%33.0g,vl_civic_yes_no,2.8.6 Past 12 months: Joined ward user committee
88,q2_8_6_raw,str1,0,%9s,,Original code: q2_8_6
89,q2_9,byte,1,%33.0g,vl_confidence,2.9 Confidence in influencing government decisions
90,q2_9_raw,str1,0,%9s,,Original code: q2_9
91,q3_1_1,byte,1,%33.0g,vl_agree5,Nepal instability cause: Government changes/party conflict
92,q3_1_1_raw,str3,0,%9s,,Original code: q3_1_1
93,q3_1_2,byte,1,%33.0g,vl_agree5,Nepal instability cause: Policy formulation failure
94,q3_1_2_raw,str1,0,%9s,,Original code: q3_1_2
95,q3_1_2_001,byte,1,%33.0g,vl_vx7xv18,Nepal instability cause: Policy implementation failure
96,q3_1_2_001_raw,str3,0,%9s,,Original code: q3_1_2_001
97,q3_1_3,byte,1,%33.0g,vl_agree5,Nepal instability cause: Corruption
98,q3_1_3_raw,str1,0,%9s,,Original code: q3_1_3
99,q3_1_3_001,byte,1,%33.0g,vl_fx1wd71,Nepal instability cause: Lack of accountability
100,q3_1_3_001_raw,str3,0,%9s,,Original code: q3_1_3_001
101,q3_1_4,byte,1,%33.0g,vl_agree5,Nepal instability cause: Protests/violence/civic unrest
102,q3_1_4_raw,str3,0,%9s,,Original code: q3_1_4
103,q3_1_5,byte,1,%33.0g,vl_agree5,Nepal instability cause: Transfers of government officials
104,q3_1_5_raw,str1,0,%9s,,Original code: q3_1_5
105,q3_1_6,byte,1,%33.0g,vl_agree5,Nepal instability cause: Conflict between government tiers
106,q3_1_6_raw,str1,0,%9s,,Original code: q3_1_6
107,q3_1_7,byte,1,%33.0g,vl_agree5,Nepal instability cause: Foreign/external influence
108,q3_1_7_raw,str3,0,%9s,,Original code: q3_1_7
109,q3_2,byte,1,%33.0g,vl_stability,3.2 Political stability of Nepal today
110,q3_2_raw,str3,0,%9s,,Original code: q3_2
111,q3_3,byte,1,%33.0g,vl_comparison,3.3 Nepal stability compared with one year ago
112,q3_3_raw,str1,0,%9s,,Original code: q3_3
113,q3_4,byte,1,%33.0g,vl_comparison,3.4 Nepal stability compared with five years ago
114,q3_4_raw,str1,0,%9s,,Original code: q3_4
115,q3_5,byte,1,%33.0g,vl_comparison,3.5 Expected Nepal stability in five years
116,q3_5_raw,str3,0,%9s,,Original code: q3_5
117,q3_6,byte,1,%33.0g,vl_likelihood,3.6 Likelihood government changes within one year
